title,type,release_year,rating,country,duration
Stranger Things,TV Show,2016,TV-14,United States,4 Seasons
Wednesday,TV Show,2022,TV-14,United States,1 Season
The Crown,TV Show,2016,TV-MA,United Kingdom,6 Seasons
Money Heist,TV Show,2017,TV-MA,Spain,5 Seasons
Dark,TV Show,2017,TV-MA,Germany,3 Seasons
Breaking Bad,TV Show,2013,TV-MA,United States,5 Seasons
Friends,TV Show,2003,TV-14,United States,10 Seasons
The Office,TV Show,2013,TV-14,United States,9 Seasons
Squid Game,TV Show,2021,TV-MA,South Korea,1 Season
Bridgerton,TV Show,2020,TV-14,United States,3 Seasons
The Witcher,TV Show,2019,TV-MA,United States,3 Seasons
Black Mirror,TV Show,2019,TV-MA,United Kingdom,5 Seasons
Lupin,TV Show,2021,TV-MA,France,3 Parts
Narcos,TV Show,2017,TV-MA,United States,3 Seasons
Peaky Blinders,TV Show,2022,TV-MA,United Kingdom,6 Seasons
The Irishman,Movie,2019,R,United States,209 min
Bird Box,Movie,2018,R,United States,124 min
Extraction,Movie,2020,R,United States,116 min
Red Notice,Movie,2021,PG-13,United States,118 min
Enola Holmes,Movie,2020,PG-13,United Kingdom,123 min
The Gray Man,Movie,2022,PG-13,United States,129 min
Glass Onion,Movie,2022,PG-13,United States,139 min
Don't Look Up,Movie,2021,R,United States,138 min
The Adam Project,Movie,2022,PG-13,United States,106 min
Army of the Dead,Movie,2021,R,United States,148 min
The Old Guard,Movie,2020,R,United States,125 min
The Platform,Movie,2019,TV-MA,Spain,94 min
The Killer,Movie,2023,R,United States,118 min
Leave the World Behind,Movie,2023,R,United States,138 min
Damsel,Movie,2024,PG-13,United States,110 min
The Mother,Movie,2023,R,United States,115 min
The Sea Beast,Movie,2022,PG,United States,115 min
Klaus,Movie,2019,PG,Spain,96 min
The Mitchells vs. the Machines,Movie,2021,PG,United States,113 min
Roma,Movie,2018,R,Mexico,135 min
Marriage Story,Movie,2019,R,United States,137 min
All Quiet on the Western Front,Movie,2022,R,Germany,148 min
The Two Popes,Movie,2019,PG-13,United Kingdom,125 min
Maestro,Movie,2023,R,United States,131 min
The Pale Blue Eye,Movie,2022,R,United States,130 min
The Wonder,Movie,2022,R,Ireland,103 min
The Dig,Movie,2021,PG-13,United Kingdom,112 min
The King,Movie,2019,R,United Kingdom,140 min
The Trial of the Chicago 7,Movie,2020,R,United States,130 min
Hustle,Movie,2022,R,United States,117 min
The Unforgivable,Movie,2021,R,United Kingdom,112 min
The Good Nurse,Movie,2022,R,United States,121 min
The Weekend Away,Movie,2022,TV-14,United States,91 min
The Guilty,Movie,2021,R,United States,90 min
The Harder They Fall,Movie,2021,R,United States,139 min
